fecha_prueba,Negativo,Positivo,IgM e IgG Positivo
23/01/2022,10288635,1482074,296161
23/01/2023,10301026,1482417,296410
23/02/2021,10328126,1487333,296433
23/02/2022,10366255,1488881,296606
23/02/2023,10375351,1489056,296680
23/03/2021,10407715,1496883,296698
23/03/2022,10446021,1497315,296798
23/03/2023,10453972,1497579,296945
23/04/2021,10492473,1504622,296957
23/04/2022,10513473,1504810,296987
23/05/2020,10513474,1504815,296987
23/05/2021,10521677,1505964,296987
23/05/2022,10547523,1506427,297099
23/06/2021,10582250,1508803,297701
23/06/2022,10607703,1510945,298400
23/07/2020,10607705,1510949,298400
23/07/2021,10640735,1512135,298719
23/07/2022,10670330,1520277,301674
23/08/2020,10670331,1520280,301674
23/08/2021,10710565,1521427,302008
23/08/2022,10739688,1524569,303310
23/09/2020,10739694,1524571,303310
23/09/2021,10772192,1525402,303519
23/09/2022,10789531,1525813,303644
23/10/2020,10789549,1525817,303644
23/10/2021,10813961,1526455,303912
23/10/2022,10819551,1526528,303931
23/11/2020,10819831,1526540,303931
23/11/2021,10853510,1527589,304097
23/11/2022,10876531,1533859,306757
23/12/2020,10878070,1534035,306757
23/12/2021,10910075,1535695,306766
23/12/2022,10922653,1537775,308249
24/01/2021,10925665,1538453,308249
24/01/2022,11002909,1581862,316817
24/01/2023,11014247,1582173,316995
24/02/2021,11043435,1587114,317011
24/02/2022,11083297,1588565,317391
24/02/2023,11092273,1588703,317495
24/03/2021,11125257,1596083,317514
24/03/2022,11158700,1596439,317601
24/03/2023,11165862,1596731,317683
24/04/2020,11165863,1596732,317683
24/04/2021,11195585,1602980,317683
24/04/2022,11205659,1603053,317703
24/05/2020,11205660,1603055,317703
24/05/2021,11240639,1607800,317706
24/05/2022,11265337,1608252,317824
24/06/2020,11265338,1608252,317824
24/06/2021,11298504,1610431,318395
24/06/2022,11321673,1612499,319186
24/07/2020,11321678,1612503,319186
24/07/2021,11348534,1613594,319437
24/07/2022,11362237,1617273,320646
24/08/2020,11362238,1617275,320646
24/08/2021,11398445,1618224,320872
24/08/2022,11425045,1621212,321462
24/09/2020,11425052,1621214,321462
24/09/2021,11453960,1622055,321722
24/09/2022,11465621,1622323,321728
24/10/2020,11465629,1622323,321728
24/10/2021,11476851,1622599,321819
24/10/2022,11492466,1622882,321931
24/11/2020,11492700,1622885,321931
24/11/2021,11524926,1623877,322123
24/11/2022,11546458,1630474,325008
24/12/2020,11546980,1630542,325008
24/12/2021,11566273,1631944,325022
24/12/2022,11573030,1633231,325827
25/01/2021,11588554,1636346,325827
25/01/2022,11657035,1671413,332786
25/01/2023,11667833,1671710,332941
25/02/2021,11694974,1676307,332945
25/02/2022,11731117,1677533,333291
25/02/2023,11737824,1677645,333371
25/03/2020,11737826,1677646,333371
25/03/2021,11768723,1685150,333373
25/03/2022,11798973,1685561,333440
25/03/2023,11804878,1685774,333553
25/04/2020,11804879,1685774,333553
25/04/2021,11812364,1687434,333553
25/04/2022,11841043,1687693,333590
25/05/2020,11841044,1687694,333590
25/05/2021,11873254,1691557,333590
25/05/2022,11898022,1692076,333756
25/06/2021,11931012,1694324,334508
25/06/2022,11949852,1696052,335168
25/07/2020,11949856,1696053,335168
25/07/2021,11959730,1696433,335264
25/07/2022,12001281,1708676,339597
25/08/2020,12001283,1708681,339597
25/08/2021,12036013,1709565,339837
25/08/2022,12058630,1712001,340061
25/09/2020,12058648,1712024,340061
25/09/2021,12081748,1712747,340266
25/09/2022,12090116,1712898,340307
25/10/2020,12090120,1712900,340307
25/10/2021,12124740,1713852,340675
25/10/2022,12139628,1714098,340782
25/11/2020,12139900,1714107,340782
25/11/2021,12170253,1715120,340805
25/11/2022,12190777,1721779,343155
25/12/2020,12190843,1721789,343155
25/12/2021,12198691,1722323,343158
25/12/2022,12203023,1722798,343575
26/01/2021,12219998,1725717,343580
26/01/2022,12278492,1756395,343669
26/01/2023,12289254,1756639,343807
26/02/2021,12318315,1761322,343834
26/02/2022,12347294,1762273,344073
26/02/2023,12352536,1762345,344103
26/03/2020,12352537,1762345,344103
26/03/2021,12385984,1769905,344124
26/03/2022,12408902,1770199,344125
26/03/2023,12412294,1770281,344153
26/04/2021,12455475,1778793,344156
26/04/2022,12482377,1779090,344191
26/05/2020,12482377,1779092,344191
26/05/2021,12514446,1782654,344192
26/05/2022,12536859,1783132,344283
26/06/2020,12536862,1783132,344283
26/06/2021,12563599,1785086,344730
26/06/2022,12573956,1786047,345064
26/07/2020,12573957,1786047,345064
26/07/2021,12609311,1787525,345430
26/07/2022,12648341,1797693,349123
26/08/2020,12648341,1797695,349123
26/08/2021,12682221,1798543,349329
26/08/2022,12703854,1800790,349528
26/09/2020,12703859,1800790,349528
26/09/2021,12713423,1801083,349625
26/09/2022,12735301,1801561,349802
26/10/2020,12735340,1801564,349802
26/10/2021,12768552,1802345,350148
26/10/2022,12782929,1802632,350250
26/11/2020,12783122,1802637,350250
26/11/2021,12811942,1803698,350266
26/11/2022,12823394,1808923,350424
26/12/2020,12824903,1809092,350424
26/12/2021,12839917,1809999,350730
26/12/2022,12855291,1812301,352461
27/01/2021,12872982,1815271,352486
27/01/2022,12933343,1842547,358544
27/01/2023,12943664,1842738,358670
27/02/2021,12968550,1847017,358670
27/02/2022,12981363,1847473,358767
27/02/2023,12992580,1847727,358881
27/03/2021,13019510,1854197,358881
27/03/2022,13033470,1854313,358901
27/03/2023,13042464,1854749,359043
27/04/2021,13080271,1861474,359053
27/04/2022,13108932,1861720,359111
27/05/2020,13108939,1861723,359111
27/05/2021,13141300,1865264,359112
27/05/2022,13163871,1865744,359230
27/06/2021,13173072,1866409,359394
27/06/2022,13203270,1869708,360584
27/07/2020,13203276,1869715,360584
27/07/2021,13236214,1870771,360848
27/07/2022,13271679,1880816,364305
27/08/2020,13271680,1880824,364305
27/08/2021,13303548,1881658,364513
